Tears come from the heart and not from the brain., Leonardo da Vinci 
There are two medicines for all ills: time and silence., Alexander Dumas 
Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad., Henry Wadsworth Longfellow 
All man’s miseries stem from his inability to sit quietly in a room and do nothing., Blaise Pascal
Don’t grieve. Anything you lose comes round in another form., Rumi 
Perhaps I know best why it is man alone who laughs; he alone suffers so deeply that he had to invent laughter., Friedrich Nietzsche
Life seems but a quick succession of busy nothings., Jane Austen
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better to take things as they come along with patience and equanimity.", Carl Jung
"I always like walking in the rain, so no one can see me crying.", Charlie Chaplin 
The sadness will last forever., Vincent van Gogh
Sadness flies away on the wings of time., Jean de La Fontaine
Lord help my poor soul., Edgar Allan Poe
Trifles make the sum of life., Charles Dickens
We forge the chains we wear in life., Charles Dickens
Saying nothing sometimes says the most., Emily Dickinson
"The cure for anything is salt water – sweat, tears, or the sea.", Isak Dinesen
There is prodigious strength in sorrow and despair., Charles Dickens 
The wound is the place where the light enters you., Rumi
"Its good to leave each day behind, like flowing water, free of sadness. Yesterday is gone and its tale told. Today new seeds are growing.", Rumi
Man performs and engenders so much more than he can or should have to bear. That’s how he finds that he can bear anything., William Faulkner
There is not enough darkness in all the world to put out the light of even one small candle., Robert Alden
Suffering is a gift; in its hidden mercy., Rumi
Be patient where you sit in the dark. The dawn is coming., Rumi 
Most of the trouble in life comes from misunderstanding., Lucy Maud Montgomery
Mostly it is loss which teaches us about the worth of things., Arthur Schopenhauer
